Designation,Category,                        ZONE I,,,                     ZONE II,,
,,Basic Per Month,VDA Per Month,Total Per Wage,Basic Per Month,VDA Per Month,Total Per Wage
Manager/ Sales Manager/ Security Officer/ Computer Programmer,Shops,5557.00,8236.80,13793.80,5357.00,8236.80,13593.80
Kolagari/ Weighman/ Milk Vender in Milk Booths,Shops,3886.00,8236.80,12122.80,3757.00,8236.80,11993.80
Computer Operator,Shops,3886.00,8236.80,12122.80,3757.00,8236.80,11993.80
"Clerk/ Godown Incharge/ Accounts Assistant/ Typist/ Receptionist/ Lineman/ Stenographer/Clerk-cum-Typist/ Xerox Machine Operator/ Clerks in STD, ISD, FAX/ Asst.Salesman",Shops,4102.00,8236.80,12338.80,3886.00,8236.80,12122.80
Bicycle Fitter/ Attender/ Peon/ Water Boy/ Shop Boy/ Helper/ Messenger/ Gas Cylinder Carrier,Shops,3700.00,8236.80,11936.80,3370.00,8236.80,11606.80
Asst.Manager/ Accountant Supervisor/ Purchaser,Shops,4722.00,8236.80,12958.80,4302.00,8236.80,12538.80
Photo Frame Worker,Others,3757.00,8236.80,11993.80,3370.00,8236.80,11606.80
Pharmacist/ Air Conditioner/ Plant Operator,Others,4722.00,8236.80,12958.80,4520.00,8236.80,12756.80
Goldsmith,Others,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
A/c.Plant Operator,Others,4102.00,8236.80,12338.80,4062.00,8236.80,12298.80
Washerman (Laundry),Laundries/ Dry Cleaners,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
Manager/ Shop Incharge,Laundries/ Dry Cleaners,4722.00,8236.80,12958.80,4520.00,8236.80,12756.80
Helper/ Pressman,Laundries/ Dry Cleaners,3700.00,8236.80,11936.80,3370.00,8236.80,11606.80
Clerk/ Bill Writer,Laundries/ Dry Cleaners,4102.00,8236.80,12338.80,4102.00,8236.80,12338.80
Manager/Shop Incharge,Hair Cutting / Hair Dressing Saloon/ Beauty Parlours,4722.00,8236.80,12958.80,4520.00,8236.80,12756.80
Helper,Hair Cutting / Hair Dressing Saloon/ Beauty Parlours,3700.00,8236.80,11936.80,3370.00,8236.80,11606.80
Hair Dresser/ Hair Cutter/ Beautician,Hair Cutting / Hair Dressing Saloon/ Beauty Parlours,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
Weighman/ Kolgari,Commercial Establishments,3886.00,8236.80,12122.80,3757.00,8236.80,11993.80
Salesman/ Stenographer/ Receptionist/ Auction Bider/ Tradesman/ Type Writer Instructor,Commercial Establishments,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
Peon/Attender/ Watchman/ Water Boy/ Helper/ Messenger/ Security Guard,Commercial Establishments,3700.00,8236.80,11936.80,3370.00,8236.80,11606.80
Manager/ Field Officer/ Development Officer/ Security Officer/ Office Incharge/ Computer Programmer,Commercial Establishments,5557.00,8236.80,13793.80,5138.00,8236.80,13374.80
Computer Operator,Commercial Establishments,3886.00,8236.80,12122.80,3757.00,8236.80,11993.80
Clerk/ Typist/Clerk-cum-Typist/ Godown Incharge/Lineman/ Assistant Salesman/ Asst.Accountant/ Xerox Machine Operator,Commercial Establishments,4102.00,8236.80,12338.80,3886.00,8236.80,12122.80
Accountant/ Asst.Manager/ Sales Executive/ Supervisor/ Purchaser/ Store Keeper/ Agent/ Sales Promotion Employees,Commercial Establishments,4722.00,8236.80,12958.80,4520.00,8236.80,12756.80
Helper/ Pressman,Tailoring Establishments,3757.00,8236.80,11993.80,3370.00,8236.80,11606.80
Cutter Master,Tailoring Establishments,4722.00,8236.80,12958.80,4302.00,8236.80,12538.80
Asst.Cutter/ Tailor/ Sticher,Tailoring Establishments,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
Type Writing Instructor,Shops,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
Security Guard,Shops,3700.00,8236.80,11936.80,3370.00,8236.80,11606.80
Salesman/Sales Representative/ Bill Writer/ Cashier/ Tradesman,Shops,4520.00,8236.80,12756.80,4302.00,8236.80,12538.80
